fishing_fleet,gear_type,time_start,time_end,geographic_identifier,fishing_mode,measurement_unit,source_authority,measurement,measurement_processing_level,measurement_value
AUS,09.39,1986-11-01,1986-11-30,6230150,UNK,HOOKS,CCSBT,effort,unknown,3520
AUS,09.39,1986-11-01,1986-11-30,6235150,UNK,HOOKS,CCSBT,effort,unknown,5970
AUS,09.39,1986-12-01,1986-12-31,6235150,UNK,HOOKS,CCSBT,effort,unknown,5150
AUS,09.39,1987-01-01,1987-01-31,6230150,UNK,HOOKS,CCSBT,effort,unknown,1840
AUS,09.39,1987-01-01,1987-01-31,6235150,UNK,HOOKS,CCSBT,effort,unknown,14740
