"dimension","code_list_identifier"
"area","cwp_grid"
"measurement_type","catchtype_iccat"
"measurement_unit","effortunit_iccat"
"fishing_fleet","flag_iccat"
"gear_type","gear_iccat"
"fishing_mode","schooltype_iccat"
"species","species_iccat"
"source_authority","source_authority"
