"dimension","code_list_identifier"
"area","cwp_grid"
"measurement_type","catchtype_wcpfc"
"measurement_unit","effortunit_wcpfc"
"fishing_fleet","flag_wcpfc"
"gear_type","gear_wcpfc"
"fishing_mode","schooltype_wcpfc"
"species","species_wcpfc"
"source_authority","source_authority"
