"dimension","code_list_identifier"
"area","areas_tuna_rfmos_task1"
"measurement_type","catchtype_wcpfc"
"measurement_unit","catchunit_rfmos"
"fishing_fleet","flag_wcpfc"
"gear_type","gear_wcpfc"
"fishing_mode","schooltype_rfmos"
"species","species_wcpfc"
"source_authority","source_authority"
