"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
1983,"G","JP",NA,"ALB","ALBACORE",6884
1983,"G","JP",NA,"BET","BIGEYE TUNA",87
1983,"G","JP",NA,"SKJ","SKIPJACK TUNA",4427
1983,"G","JP",NA,"YFT","YELLOWFIN TUNA",43
1983,"G","JP",NA,"PBF","PACIFIC BLUEFIN TUNA",807
1983,"G","JP",NA,"MLS","STRIPED MARLIN",1867
1983,"G","JP",NA,"SWO","SWORDFISH",1033
1984,"G","JP",NA,"ALB","ALBACORE",10569
1984,"G","JP",NA,"BET","BIGEYE TUNA",84
1984,"G","JP",NA,"SKJ","SKIPJACK TUNA",5823
