fishing_fleet,gear_type,time_start,time_end,geographic_identifier,fishing_mode,species,measurement_type,measurement_unit,source_authority,measurement,measurement_processing_level,measurement_value
NEI,01.1,1970-01-01,1970-01-31,6100135,LS,BET,RC,TRUE,WCPFC,catch,raised,16.951
NEI,01.1,1970-01-01,1970-01-31,6100135,LS,SKJ,RC,TRUE,WCPFC,catch,raised,113.178
NEI,01.1,1970-01-01,1970-01-31,6100135,LS,YFT,RC,TRUE,WCPFC,catch,raised,139.97
NEI,01.1,1970-01-01,1970-01-31,6105120,LS,BET,RC,TRUE,WCPFC,catch,raised,12.375
NEI,01.1,1970-01-01,1970-01-31,6105120,LS,SKJ,RC,TRUE,WCPFC,catch,raised,74.37
