fishing_fleet,gear_type,time_start,time_end,geographic_identifier,fishing_mode,species,measurement_type,measurement_unit,source_authority,measurement,measurement_processing_level,measurement_value
AUS,01.1,1975-12-01,1975-12-31,5237150,UNK,SBF,RC,TRUE,CCSBT,catch,unknown,59.8
AUS,01.1,1978-01-01,1978-01-31,5238149,UNK,SBF,RC,TRUE,CCSBT,catch,unknown,284
AUS,01.1,1981-11-01,1981-11-30,5236150,UNK,SBF,RC,TRUE,CCSBT,catch,unknown,270.5
AUS,01.1,1981-11-01,1981-11-30,5236151,UNK,SBF,RC,TRUE,CCSBT,catch,unknown,365.1
AUS,01.1,1981-11-01,1981-11-30,5236152,UNK,SBF,RC,TRUE,CCSBT,catch,unknown,137.1
