"Record","Spp","DTypeID","Number","Weight"
527,"SKH",2,3,NA
529,"SKH",2,1,NA
532,"SKH",2,2,NA
533,"SKH",2,1,NA
534,"SKH",2,10,NA
539,"SKH",2,3,NA
540,"SKH",2,1,NA
545,"SKH",2,1,NA
546,"SKH",2,1,NA
547,"SKH",2,22,NA
