source_authority,species,gear_type,fishing_fleet,fishing_mode,time_start,time_end,measurement_unit,measurement_type,measurement,geographic_identifier,measurement_processing_level,measurement_value
IATTC,BSH,09.32,BLZ,UNK,2009-01-01,2009-01-31,t,RC,catch,6400100,original_sample,14.12
IATTC,BSH,09.32,BLZ,UNK,2009-01-01,2009-01-31,t,RC,catch,6400110,original_sample,4.2
IATTC,BSH,09.32,BLZ,UNK,2009-01-01,2009-01-31,t,RC,catch,6405100,original_sample,6.11
IATTC,BSH,09.32,BLZ,UNK,2009-01-01,2009-01-31,t,RC,catch,6405105,original_sample,0.3
IATTC,BSH,09.32,BLZ,UNK,2009-01-01,2009-01-31,t,RC,catch,6405110,original_sample,6.79
