"yy","mm","lat5","lon5","cwp_grid","days","skj_c","yft_c","oth_c"
1950,1,"20N",130,61200013000,0,0,0,0
1950,1,"20N",135,61200013500,0,0,0,0
1950,1,"20N",140,61200014000,0,0,0,0
1950,1,"20N",145,61200014500,0,0,0,0
1950,1,"20N",150,61200015000,0,0,0,0
1950,1,"25N",130,61250013000,0,0,0,0
1950,1,"25N",135,61250013500,0,0,0,0
1950,1,"25N",140,61250014000,0,0,0,0
1950,1,"25N",145,61250014500,0,0,0,0
1950,1,"25N",150,61250015000,0,0,0,0
