dimension,code_list_identifier
area,areas_tuna_rfmos_task1
measurement_type,catchtype_iotc
measurement_unit,catchunit_rfmos
fishing_fleet,flag_iotc
gear_type,gear_iotc
fishing_mode,schooltype_rfmos
species,species_iotc
source_authority,source_authority
