"dimension","code_list_identifier"
"area","rfmos_convention_areas_fao"
"catchtype","catchtype_iattc"
"unit","catchunit_rfmos"
"fishingfleet","flag_iattc"
"gear","gear_iattc"
"schooltype","schooltype_rfmos"
"species","species_iattc"
"source_authority","source_authority"
