dimension,code_list_identifier
area,areas_tuna_rfmos_task1
measurement_type,catchtype_iccat
measurement_unit,catchunit_rfmos
fishing_fleet,flag_iccat
gear_type,gear_iccat
fishing_mode,schooltype_rfmos
species,species_iccat
source_authority,source_authority
