fishing_fleet,gear_type,time_start,time_end,geographic_identifier,fishing_mode,measurement_unit,source_authority,measurement,measurement_processing_level,measurement_value
NEI,07.2,1983-11-01,1983-11-30,6330165,UNK,FDAYS,WCPFC,effort,unknown,266
NEI,07.2,1983-12-01,1983-12-31,6330165,UNK,FDAYS,WCPFC,effort,unknown,266
NEI,07.2,1983-12-01,1983-12-31,6335165,UNK,FDAYS,WCPFC,effort,unknown,496
NEI,07.2,1984-01-01,1984-01-31,6230165,UNK,FDAYS,WCPFC,effort,unknown,170
NEI,07.2,1984-01-01,1984-01-31,6240160,UNK,FDAYS,WCPFC,effort,unknown,118
