fishing_fleet,gear_type,time_start,time_end,geographic_identifier,fishing_mode,measurement_unit,source_authority,measurement,measurement_processing_level,measurement_value
NEI,09.1,1950-04-01,1950-04-30,6125135,UNK,FDAYS,WCPFC,effort,unknown,84
NEI,09.1,1950-04-01,1950-04-30,6125140,UNK,FDAYS,WCPFC,effort,unknown,142
NEI,09.1,1950-04-01,1950-04-30,6130140,UNK,FDAYS,WCPFC,effort,unknown,122
NEI,09.1,1950-05-01,1950-05-31,6125140,UNK,FDAYS,WCPFC,effort,unknown,108
NEI,09.1,1950-05-01,1950-05-31,6130135,UNK,FDAYS,WCPFC,effort,unknown,122
